title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
Man on Fire,,,,http://1.fwcdn.pl/po/70/49/107049/7127130.4.jpg,74,7.0
Sleepers,,,,http://1.fwcdn.pl/po/06/16/616/7268743.4.jpg,77,7.0
The Meaning of Life,,,,http://1.fwcdn.pl/po/11/00/1100/7001740.4.jpg,78,7.0
The Sixth Sense,,,,http://1.fwcdn.pl/po/08/25/825/6901015.4.jpg,80,7.0
Les choristes,,,,http://1.fwcdn.pl/po/95/14/119514/6936984.4.jpg,81,7.0
Shichinin no samurai,,,,http://1.fwcdn.pl/po/13/69/31369/7582206.4.jpg,82,7.0
Pink Floyd The Wall,,,,http://1.fwcdn.pl/po/86/73/8673/7459224.4.jpg,83,7.0
Carlito's Way,,,,http://1.fwcdn.pl/po/10/94/1094/7022344.4.jpg,84,7.0
Rush,,,,http://1.fwcdn.pl/po/82/62/628262/7577202.4.jpg,85,7.0
Philadelphia,,,,http://1.fwcdn.pl/po/12/22/1222/7314861.4.jpg,87,7.0
How to Train Your Dragon,,,,http://1.fwcdn.pl/po/10/14/331014/7318652.4.jpg,88,7.0
Sen to Chihiro no Kamikakushi,,,,http://1.fwcdn.pl/po/32/88/33288/6900537.4.jpg,89,7.0
Awakenings,,,,http://1.fwcdn.pl/po/10/35/1035/7530907.4.jpg,90,7.0
Hauru no ugoku shiro,,,,http://1.fwcdn.pl/po/87/10/128710/7525784.4.jpg,93,7.0
Law Abiding Citizen,,,,http://1.fwcdn.pl/po/52/02/475202/7297945.4.jpg,94,7.0
"Lock, Stock and Two Smoking Barrels",,,,http://1.fwcdn.pl/po/07/47/747/7222553.4.jpg,95,7.0
The Game,,,,http://1.fwcdn.pl/po/00/62/62/7521204.4.jpg,97,7.0
The Illusionist,,,,http://1.fwcdn.pl/po/36/57/203657/7586361.4.jpg,98,7.0
The Boondock Saints,,,,http://1.fwcdn.pl/po/02/13/10213/7301729.4.jpg,99,7.0
